INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.695; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.696; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-07-16 10:09:11.696; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-07-16 10:09:11.696; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/dist/solr-cell-4.3.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-07-16 10:09:11.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-07-16 10:09:11.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-07-16 10:09:11.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-07-16 10:09:11.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-07-16 10:09:11.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2013-07-16 10:09:11.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/dist/solr-clustering-4.3.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-07-16 10:09:11.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-07-16 10:09:11.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/dist/solr-langid-4.3.1.jar' to classloader
